treatment,segment,group,VOLT_FLAG,SCORE,cleaned_comment,date_converted,month,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE
control,Non-VOLT,Non-VOLT_control,,10,good package,2023-03-01,3,10.0,8.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,good customer service,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,far good charlie efficient helpful let hope continues confident,2023-03-01,3,,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,great communication,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,chris amazing contacted put details online,2023-03-01,3,,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-03-01,3,7.0,10.0,9.0,10.0,8.0
control,VOLT,VOLT_control,yes,3,price bundle went days placed order,2023-03-01,3,6.0,6.0,4.0,6.0,6.0
control,VOLT,VOLT_control,yes,9,simple straightforward process lot information things remember phone,2023-03-01,3,,,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,amazing service job completed,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,goo service,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,,2023-03-01,3,8.0,6.0,10.0,10.0,5.0
control,Non-VOLT,Non-VOLT_control,,10,guy spoke helpful give fantastic deal looking forward receiving box downfall waiting time two weeks sure worth wait,2023-03-01,3,5.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,,2023-03-01,3,8.0,7.0,10.0,10.0,5.0
control,VOLT,VOLT_control,yes,10,work done far done high standard phone agent people came house professional polite would definitely recommend,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,great service tony,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,0,two days,2023-03-01,3,0.0,0.0,0.0,0.0,0.0
control,VOLT,VOLT_control,yes,10,spoke several company people first contact steph took extreme care explain options available conversation lasted hour many thanks steph following spoke three people became clear husband penalty fee leaving put invidious position pensioners able proceed spoke ine managed somehow procure part bt's despicable fee finally allowed ahead many thanks therefore people helped,2023-03-01,3,10.0,5.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,good early days yet,2023-03-01,3,0.0,10.0,10.0,10.0,8.0
control,VOLT,VOLT_control,yes,10,nice pleasent aswell,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,5,alright reasonably good,2023-03-01,3,5.0,2.0,10.0,10.0,7.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-03-01,3,6.0,8.0,10.0,10.0,7.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-03-01,3,10.0,10.0,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,8,phone helpful fella questions got running little time better internet around area,2023-03-01,3,9.0,8.0,9.0,10.0,7.0
control,VOLT,VOLT_control,yes,0,,2023-03-01,3,0.0,0.0,0.0,0.0,0.0
control,VOLT,VOLT_control,yes,10,extremely helpful engineer visit,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,dee took ordering process could helpful went,2023-03-01,3,5.0,5.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,hood customer service,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,mat brilliant followed advailabe really professional plesent deal,2023-03-01,3,5.0,5.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,set yet speaking ashley informative pleasant saturday chaps came day road house infrastructure satisfactory today site management checked everything installed satisfactory happy,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-03-01,3,10.0,2.0,2.0,2.0,10.0
control,Non-VOLT,Non-VOLT_control,,5,,2023-03-01,3,10.0,2.0,3.0,3.0,5.0
control,Non-VOLT,Non-VOLT_control,,10,friendly easy talk understood wanted happy help,2023-03-01,3,9.0,8.0,9.0,9.0,9.0
control,VOLT,VOLT_control,yes,6,tryed get phone,2023-03-01,3,5.0,5.0,5.0,5.0,5.0
control,VOLT,VOLT_control,yes,10,excellent customer service,2023-03-01,3,9.0,9.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,service good,2023-03-01,3,10.0,8.0,,10.0,10.0
control,VOLT,VOLT_control,yes,10,professional service,2023-03-01,3,8.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,easy deal,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,1,higher speed sky connection disappointed connected tablet mobile phones via wifi rubbish signal restarted router lights wifi poor good engineer helpfull done work correctly complaint,2023-03-01,3,5.0,10.0,9.0,9.0,1.0
control,Non-VOLT,Non-VOLT_control,,0,difficult talk anyone expensive always problem many calls lots mistakes took place name dates leaving moving misleading advertising appears cheaper actually costs sorry negative however accurate reflection company however fast mostly reliable internet,2023-03-01,3,4.0,10.0,1.0,7.0,7.0
control,Non-VOLT,Non-VOLT_control,,7,explained could understand said thank lady spoke,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,friendly efficient help,2023-03-01,3,9.0,8.0,8.0,8.0,9.0
control,VOLT,VOLT_control,yes,9,,2023-03-01,3,,,,,
control,VOLT,VOLT_control,yes,10,always good relationship company came across unhelpful customer service employee rest history,2023-03-01,3,5.0,5.0,10.0,10.0,5.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,5.0,5.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,easy join company friendly advisor,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-03-01,3,8.0,10.0,8.0,10.0,9.0
control,VOLT,VOLT_control,yes,9,advisor spoke helpful explained things clearly also friendly really understood looking best help,2023-03-01,3,8.0,9.0,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,7,polite could skilled providing guidance minimum amount broadband mbps working home video conferencing requires instead pretending know,2023-03-01,3,8.0,8.0,7.0,8.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,impressed company decided stay sky,2023-03-01,3,0.0,0.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,0,bad experience customer services proceeding installation,2023-03-01,3,0.0,0.0,0.0,0.0,0.0
control,Non-VOLT,Non-VOLT_control,,9,customer service new customer excellent,2023-03-01,3,9.0,9.0,9.0,9.0,9.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,5.0,10.0,10.0,10.0,9.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,5,asking service company media supply connected somewhat pointless customer support staff helpful online mechanisms gave headache would certainly recommend mechanism get company media service time tells whether score increase,2023-03-01,3,5.0,5.0,9.0,9.0,5.0
control,Non-VOLT,Non-VOLT_control,,9,helpful advisor,2023-03-01,3,7.0,9.0,9.0,9.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,chap dealt friendly professional efficient questions answered promptly feel reassured get good service future,2023-03-01,3,,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,4,ordered package online meant easy process online chat system told wanted change delivery address give company quick call would amended resulted hours phone customer services put different operators occasions whole order processed although explained already done online wanted change address operators trying helpful appreciate process draining hours ridiculous amount time,2023-03-01,3,6.0,5.0,2.0,8.0,7.0
control,Non-VOLT,Non-VOLT_control,,0,,2023-03-01,3,0.0,0.0,0.0,0.0,0.0
control,VOLT,VOLT_control,yes,10,friendly good customer service plus suitable product easy sign,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,excellent line service,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,4,promised call back change direct debit details call received,2023-03-01,3,8.0,0.0,5.0,5.0,8.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,7,,2023-03-01,3,8.0,6.0,8.0,8.0,9.0
control,VOLT,VOLT_control,yes,10,extremely happy quickly got running messing like vodafone happily recommend anyone fast trouble free experience start finish thank team,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,great service good price,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,efficient friendly proffessional experience initial phone call fitting thankyou,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,friendly services,2023-03-01,3,9.0,9.0,9.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,simple process helpful staff,2023-03-01,3,8.0,10.0,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-03-01,3,10.0,8.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,0,,2023-03-01,3,3.0,8.0,0.0,10.0,0.0
control,VOLT,VOLT_control,yes,8,,2023-03-01,3,6.0,7.0,6.0,8.0,7.0
control,VOLT,VOLT_control,yes,10,marco helpful,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,6,,2023-03-01,3,,,,,6.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,0,company told cable told cancel sky tuesday company getting set company man turnt cable wait weeks internet someone working home work daughter home schooled lessons thanks company even yet getting hassle,2023-03-01,3,0.0,0.0,0.0,6.0,0.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-03-01,3,8.0,,9.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,0,zero success support get service activated almost days without data many days,2023-03-01,3,0.0,5.0,0.0,3.0,0.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-03-01,3,7.0,8.0,6.0,6.0,6.0
control,VOLT,VOLT_control,yes,10,good service made complicated thing easy,2023-03-01,3,10.0,9.0,10.0,10.0,7.0
control,VOLT,VOLT_control,yes,0,indian call centres,2023-03-01,3,0.0,0.0,10.0,10.0,5.0
control,VOLT,VOLT_control,yes,10,excellent service,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,3,confirmation procedure strange robot detection pathetic minute pictures american dialect failing consistently pass fantastic test,2023-03-01,3,8.0,8.0,8.0,8.0,8.0
control,Non-VOLT,Non-VOLT_control,,8,new customer contract cancelled without notifying box arrive called see happening wait another days box arrive,2023-03-01,3,5.0,10.0,10.0,10.0,4.0
control,VOLT,VOLT_control,yes,10,agent sally extremely helpful went extra mile,2023-03-01,3,9.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,8,felt treated better sky,2023-03-01,3,8.0,8.0,8.0,8.0,8.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,,10.0
control,Non-VOLT,Non-VOLT_control,,8,good customer service,2023-03-01,3,6.0,8.0,8.0,,8.0
control,VOLT,VOLT_control,yes,9,great service good price,2023-03-01,3,8.0,9.0,9.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,polite efficient installation thank everything would expect company,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,fast service coverage,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,helpful,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,7,,2023-03-01,3,10.0,10.0,10.0,10.0,7.0
control,VOLT,VOLT_control,yes,9,daughters organised means communication distance return live england used went smoothly quickly,2023-03-01,3,9.0,6.0,10.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,8,engineers helpful someone familiar technology,2023-03-01,3,8.0,6.0,9.0,,8.0
control,VOLT,VOLT_control,yes,0,absolutely awful sent two hdmi leads usb plug tele box long winded messages explaining got wrong woman said send hdmi lead need one two explained another agent apologised come home another hdmi lead seriously something wrong people jobs properly absolutely shocking borrow lead plug distributors job properly packing customer service reading message properly saying got right clearly returned company left install everything charged lot first bill shocking,2023-03-01,3,3.0,5.0,8.0,10.0,5.0
control,VOLT,VOLT_control,yes,9,enquiry resolved time thought went many unstackles,2023-03-01,3,6.0,9.0,9.0,9.0,8.0
control,VOLT,VOLT_control,yes,9,,2023-03-01,3,8.0,8.0,10.0,10.0,9.0
control,VOLT,VOLT_control,yes,10,really friendly experienced staff,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,clara helpful extremely patient questions,2023-03-01,3,,9.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,,2023-03-01,3,9.0,9.0,9.0,9.0,9.0
control,VOLT,VOLT_control,yes,9,,2023-03-01,3,8.0,9.0,8.0,8.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-03-01,3,9.0,9.0,9.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,9,happy price yet experience services,2023-03-01,3,5.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,excellent service lovely representative mathius,2023-03-01,3,5.0,10.0,10.0,,10.0
control,VOLT,VOLT_control,yes,9,charlotta helpful,2023-03-01,3,,9.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,7,good service engineer time tell standard products,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,8,,2023-03-01,3,8.0,8.0,8.0,9.0,8.0
control,VOLT,VOLT_control,yes,10,pleased installation even slight problems dates appointment sorted manager,2023-03-01,3,4.0,8.0,7.0,10.0,10.0
control,VOLT,VOLT_control,yes,8,quick service,2023-03-01,3,8.0,8.0,8.0,8.0,8.0
control,VOLT,VOLT_control,yes,9,scored felt really comfortable person spoke explained everything conversation ðx_x0018_,2023-03-01,3,9.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,good communication skills online got wanted instalation breeze,2023-03-01,3,9.0,5.0,9.0,9.0,9.0
control,VOLT,VOLT_control,yes,8,agent helpful polite clear explanation process great help,2023-03-01,3,,8.0,9.0,10.0,5.0
control,VOLT,VOLT_control,yes,1,still connection line fault since 24th able connect since getting system,2023-03-01,3,0.0,0.0,6.0,8.0,4.0
control,VOLT,VOLT_control,yes,10,helpful easy talk pushy get commit good deals willing call back free patent deciding deal wanted explained everything needed know,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,3,blitzed calls company media week ring back one time account could found time call nobody find log called reason call impressed continues possibly cancel order enough enough,2023-03-01,3,4.0,0.0,3.0,5.0,3.0
control,Non-VOLT,Non-VOLT_control,,10,professional kind great customer service engineer,2023-03-01,3,8.0,8.0,8.0,8.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,engineer came installation phenomenal,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,phone company media behalf cousin got broadband company media quick sending box could get connected company media sent engineer next day thank company media,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,3,offered package gem including netflix accepted phone email came netflix despite repeated phone calls company told could added texts gem's mobile number went unanswered already given notice sky stuck installation tomorrow terrible service,2023-03-01,3,5.0,5.0,0.0,5.0,1.0
control,VOLT,VOLT_control,yes,7,ally helpful joined encountered issue kindly resolved,2023-03-01,3,9.0,5.0,5.0,5.0,9.0
control,VOLT,VOLT_control,yes,7,good internet moment,2023-03-01,3,10.0,6.0,7.0,7.0,7.0
control,Non-VOLT,Non-VOLT_control,,8,polite knowledgeable call staff explained everything really,2023-03-01,3,5.0,9.0,10.0,10.0,9.0
control,VOLT,VOLT_control,yes,7,joined newly requested change package realised phone line included agent attended well charge email kept sending earlier package must improve,2023-03-01,3,5.0,7.0,10.0,10.0,6.0
control,VOLT,VOLT_control,yes,10,,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,8,two helpful ladies,2023-03-01,3,10.0,8.0,10.0,10.0,7.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-04-01,4,10.0,10.0,10.0,10.0,8.0
control,Non-VOLT,Non-VOLT_control,,6,,2023-04-01,4,5.0,5.0,6.0,6.0,5.0
control,Non-VOLT,Non-VOLT_control,,9,process pretty easy,2023-04-01,4,9.0,8.0,8.0,9.0,8.0
control,VOLT,VOLT_control,yes,4,took one half hours sign yrs old found experience exhausting,2023-04-01,4,8.0,4.0,4.0,6.0,5.0
control,Non-VOLT,Non-VOLT_control,,9,informative,2023-04-01,4,,,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,8,relatively straightforward,2023-04-01,4,7.0,5.0,7.0,8.0,7.0
control,VOLT,VOLT_control,yes,6,choice options unhelpful difficult find options wanted received different sets documents text message set email get things really want need make cost bearable,2023-04-01,4,5.0,5.0,5.0,7.0,1.0
control,Non-VOLT,Non-VOLT_control,,10,adviser friendly helpful,2023-04-01,4,10.0,6.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,8,receiving order company efficient preparing broadband installation,2023-04-01,4,9.0,8.0,9.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,13th march ordered supanet contacted 3rd april found could expect broadband answers immediately cancelled order contacted company sales spoke helpful gentleman informed company would running days 5th april immediately confirmed order today wednesday 5th april received parcel company broadband connected well done company excellent service,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,angie explained well,2023-04-01,4,8.0,10.0,10.0,10.0,9.0
control,VOLT,VOLT_control,yes,0,let add referral link set,2023-04-01,4,0.0,0.0,0.0,0.0,0.0
control,Non-VOLT,Non-VOLT_control,,10,made choice company supplied new home lucky enough niccy phone young person sometimes one get confused technology explained everything great detail credit company thank much received kit yet sure way,2023-04-01,4,5.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,3,registering volt m250 broadband plus sim received pre contract css correct details message said 'you bought m50 plus landline took hour phone customer services correct last message got said 'let's lock in' although attached css contract correct m250 entry different pre contract css fee added hub listed broadband services missing details minimum speeds expect etc contacted customer services asked rectify errors send amended contract got message first bill still waiting amended contract,2023-04-01,4,,,,,7.0
control,Non-VOLT,Non-VOLT_control,,9,easy setup call handler helpful,2023-04-01,4,9.0,10.0,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,friendly knew,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-04-01,4,8.0,8.0,8.0,8.0,8.0
control,Non-VOLT,Non-VOLT_control,,9,good service,2023-04-01,4,9.0,9.0,9.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-04-01,4,,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,happy everythin,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,0,agent set account said would give free netflix never telephone hours different agents try resolve new account receive agent said would give signing new contract beyond comprehension staff fundamentally dishonest hours speaking different people honest clue talking finally got agent called cory eventually tried sort total mess disappointed sky years problems wanted leave cost day someone appeared door said would like put cable unaware anyone coming put cable communication agents customers total unacceptable,2023-04-01,4,1.0,0.0,1.0,2.0,1.0
control,VOLT,VOLT_control,yes,10,,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,8,ordered package company running 22nd april need see good give top marks,2023-04-01,4,5.0,10.0,10.0,10.0,8.0
control,VOLT,VOLT_control,yes,9,everyone extremely helpful,2023-04-01,4,8.0,9.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-04-01,4,10.0,10.0,9.0,9.0,10.0
control,VOLT,VOLT_control,yes,8,,2023-04-01,4,10.0,6.0,8.0,10.0,8.0
control,VOLT,VOLT_control,yes,8,,2023-04-01,4,8.0,8.0,8.0,8.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,first contact important signing new service signing felt friendly professional way,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,8,broadband package tempting customer service excellent,2023-04-01,4,5.0,9.0,8.0,7.0,6.0
control,VOLT,VOLT_control,yes,10,due outstanding customer service shown company rep called clara delivered customer satisfaction master class sending email praise coming days,2023-04-01,4,10.0,8.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,8,good response,2023-04-01,4,,8.0,8.0,8.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,8,,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,0,,2023-04-01,4,0.0,0.0,0.0,0.0,0.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-04-01,4,8.0,8.0,8.0,8.0,7.0
control,Non-VOLT,Non-VOLT_control,,8,person talked going happen patient talked happening,2023-04-01,4,,10.0,10.0,10.0,7.0
control,Non-VOLT,Non-VOLT_control,,6,strange company,2023-04-01,4,5.0,8.0,8.0,8.0,6.0
control,VOLT,VOLT_control,yes,10,hardworking punctual quits carried work,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,helpful pleasant polite made sure understood contract,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,polite professional people sorted package,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,0,agreed yet bombarded emails cannot reply setting direct debits without knowledge,2023-04-01,4,0.0,0.0,0.0,0.0,0.0
control,Non-VOLT,Non-VOLT_control,,0,experience trying cancel contract 14day cool awful overseas call centre rude unhelpful,2023-04-01,4,,,,,
control,Non-VOLT,Non-VOLT_control,,10,engineer attended house friendly great sense humour,2023-04-01,4,10.0,10.0,10.0,10.0,8.0
control,Non-VOLT,Non-VOLT_control,,9,good never give anything,2023-04-01,4,5.0,9.0,9.0,9.0,8.0
control,VOLT,VOLT_control,yes,0,want cancel allow,2023-04-01,4,0.0,0.0,0.0,0.0,0.0
control,Non-VOLT,Non-VOLT_control,,0,keep sending emails even delete want answer,2023-04-01,4,0.0,0.0,0.0,0.0,0.0
control,VOLT,VOLT_control,yes,8,good range products affordable prices,2023-04-01,4,9.0,10.0,8.0,9.0,5.0
control,Non-VOLT,Non-VOLT_control,,10,lady nice phone know much internet,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,7,rep talked far quickly take everything keep stopping got end,2023-04-01,4,,3.0,10.0,10.0,8.0
control,VOLT,VOLT_control,yes,10,good communication easy solve net problem helpful attitude,2023-04-01,4,9.0,9.0,10.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,agent engineer superb installation super quick great service,2023-04-01,4,10.0,10.0,8.0,8.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,installation man good,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,customer service great engineer lucas brilliant credit companyðxü ðx_x0018_,2023-04-01,4,10.0,10.0,9.0,10.0,5.0
control,VOLT,VOLT_control,yes,9,helpful customer service rosie total star easy install setup,2023-04-01,4,9.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,called join new customer moving new property process buying spoke marco extremely useful assisted first selecting package followed contacting seller prompt let company know switching service property called back confirmed seller exchange dates week later using mark's number provided mark remembered conversation week ago despite speaking many people time mark provided absolute pristine customer service without mark's assistance first call never know whether would continued company looked options thank,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,polite friendly,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,0,poor customer service told twice get call back nothing happened website says sky channels sky sports misleading customers,2023-04-01,4,8.0,5.0,4.0,4.0,3.0
