treatment,segment,group,VOLT_FLAG,SCORE,cleaned_comment,date_converted,month,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE
control,VOLT,VOLT_control,yes,10,good lady phone today,2023-04-01,4,10.0,10.0,10.0,10.0,5.0
control,VOLT,VOLT_control,yes,10,,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,competent representative guide joining companyia media,2023-04-01,4,8.0,8.0,10.0,10.0,9.0
control,VOLT,VOLT_control,yes,2,although initial inquiry smooth problems arisen ongoing,2023-04-01,4,0.0,4.0,8.0,8.0,3.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-04-01,4,0.0,5.0,8.0,7.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,excellent service politeness,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,guy came install company media home pleasant helpful would recommend company media friends family,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,good friendly service quick easy,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,good value reasonable prices,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,excellent service offed front desk,2023-04-01,4,10.0,10.0,9.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,helpful positive response rang set broadband thank,2023-04-01,4,8.0,9.0,10.0,10.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,friendly knowledgeable,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,1,much pressure join cancelled,2023-04-01,4,,,0.0,0.0,0.0
control,Non-VOLT,Non-VOLT_control,,10,jake representative company simply beyond helpful done everything ease,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,8,good customer service,2023-04-01,4,8.0,8.0,8.0,8.0,8.0
control,VOLT,VOLT_control,yes,10,keep sending messages completely different person tell equipment delivered emails totally wrong price impressed know,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,efficient friendly service,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,fast good,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,2,cut internet asked router sent tracker shows,2023-04-01,4,5.0,5.0,6.0,5.0,3.0
control,VOLT,VOLT_control,yes,9,happy service employees telephone engineer installed equipment seems getting money,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,helpful friendly intelligent skilful nice gentleman,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,5,,2023-04-01,4,1.0,5.0,10.0,10.0,5.0
control,VOLT,VOLT_control,yes,10,help full got great deal can't wait install broadband,2023-04-01,4,,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,0,keep sending messages completely different person tell equipment delivered emails totally wrong price impressed know,2023-04-01,4,0.0,0.0,5.0,5.0,5.0
control,VOLT,VOLT_control,yes,10,excellent advice contact centre prompt contact installation agents day order placed,2023-04-01,4,10.0,7.0,10.0,10.0,7.0
control,VOLT,VOLT_control,yes,10,niccy answered number absolutely brilliant helped every single way possibly could resolved issues facing regards installation please make sure aptly rewarded service impeccable,2023-04-01,4,10.0,8.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,excellent service get gent spoke phone guy installation superb remember name though,2023-04-01,4,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,3,ever since signing nothing pain trying sort sim card company didnt seem understand get seamlessly existing sim card new one signed make new email adresses things got sent sim cards wrong ordeal trying get company understand sutuation didnt know sort charged thats person spoke even audacity try sell big multi sim card deal want one one signed sent top eventually spoke sound,2023-04-01,4,8.0,8.0,8.0,8.0,8.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-04-01,4,9.0,5.0,9.0,8.0,10.0
control,Non-VOLT,Non-VOLT_control,,0,ordered thursday 20th april sent confirmation delivery monday 24th delivery late called friday 28th informed order gone order phone another credit check soonest delivery tuesday 2nd may,2023-04-01,4,0.0,10.0,8.0,8.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-05-01,5,10.0,10.0,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,adaptable patient helpful,2023-05-01,5,10.0,9.0,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,7,agent polite helpful wondering sent contract papers details promised also like remind one month free plus six months,2023-05-01,5,10.0,10.0,9.0,9.0,8.0
control,VOLT,VOLT_control,yes,10,helpful,2023-05-01,5,,,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,6,impressed broadband deal promised 10g data also told would hard searches credit record true either,2023-05-01,5,5.0,7.0,3.0,8.0,7.0
control,VOLT,VOLT_control,yes,9,good price reason guess months want charge shall back sky mad done,2023-05-01,5,9.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,really really helpful,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,customer service excellent,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,requirements met courtesy helpfulness promptness informed needed know,2023-05-01,5,,9.0,9.0,9.0,9.0
control,VOLT,VOLT_control,yes,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,agent helpful setting new broadband true gent,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,friendly staff accommodating,2023-05-01,5,10.0,5.0,9.0,9.0,9.0
control,VOLT,VOLT_control,yes,10,pleased detailed information quick efficient service,2023-05-01,5,9.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,price better sky better broadband speed easy transition agent great sales assistant instalation date quick happy service looking forward company package,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,0,,2023-05-01,5,0.0,0.0,9.0,9.0,5.0
control,Non-VOLT,Non-VOLT_control,,5,,2023-05-01,5,6.0,6.0,5.0,7.0,4.0
control,Non-VOLT,Non-VOLT_control,,10,gentleman jack kindly got good priced package explained everything well,2023-05-01,5,10.0,10.0,,,
control,VOLT,VOLT_control,yes,8,,2023-05-01,5,9.0,9.0,9.0,9.0,8.0
control,Non-VOLT,Non-VOLT_control,,7,good service trying get talk human person really hhard people use use good english therefore easy communicate,2023-05-01,5,4.0,8.0,7.0,9.0,7.0
control,VOLT,VOLT_control,yes,7,package looks competitive opted support company representative missed voucher offer good also referrer struggling access account password reset working,2023-05-01,5,7.0,8.0,8.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,0,router cover whole house computer back house ran slow also would need keep answer phone hive hub front room good rang cancel told least day delay going pay even though cancelling next day activation service also told high connection charge case registered service told would connection charge pointed telephone operator checked agreed connection charge would paying service next seven days least happy used service two days day activated day cancelled wed 3rd may thursday 4th may even connect use company box,2023-05-01,5,2.0,0.0,7.0,10.0,1.0
control,Non-VOLT,Non-VOLT_control,,4,long installation times misleading text messages,2023-05-01,5,3.0,10.0,3.0,3.0,3.0
control,VOLT,VOLT_control,yes,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-05-01,5,8.0,8.0,8.0,8.0,8.0
control,Non-VOLT,Non-VOLT_control,,8,easy process although questions times original contact never got touch said would hopefully installed great experience,2023-05-01,5,9.0,9.0,9.0,9.0,9.0
control,VOLT,VOLT_control,yes,8,,2023-05-01,5,,9.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,best broadband,2023-05-01,5,10.0,10.0,10.0,10.0,9.0
control,VOLT,VOLT_control,yes,10,helpful reliable stick work man answered request caring efficient say wifi installed another weeks used company media years,2023-05-01,5,10.0,,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,,2023-05-01,5,9.0,9.0,9.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,1,,2023-05-01,5,0.0,0.0,1.0,1.0,2.0
control,VOLT,VOLT_control,yes,10,good service much cheaper sky,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,good internet connection,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,agent helpful start finish made sure got right package best price,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,7,easy speak one problem,2023-05-01,5,5.0,7.0,7.0,9.0,5.0
control,Non-VOLT,Non-VOLT_control,,3,poor customer care told wait engineer day nobody arrived call tell going happen,2023-05-01,5,5.0,7.0,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,agent came polite helpful although told phone boxes wires house quick set allocated enough time stayed solved problem explained everything worked,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,0,customer service awful really need ditch overseas call centers kindness understanding voice long way feel contempt operator voices sniggering laughing say cannot understnd saying feels intentional cannot quite get words due strong accents saving grace physical connection stability thankfully connection quality good rarely ever thank goodness contact call centers would touch barge pole otherwise take look broadband whos operators absolutely marvellous lessons learned brushed carpet haha,2023-05-01,5,9.0,0.0,1.0,2.0,1.0
control,VOLT,VOLT_control,yes,5,,2023-05-01,5,7.0,7.0,5.0,7.0,5.0
control,Non-VOLT,Non-VOLT_control,,10,polite engineer consulted every step patient,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-05-01,5,5.0,3.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,8,helpful informant,2023-05-01,5,,7.0,9.0,9.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,engineer visited install cable exceptionally good personable good communicator importantly stop installation faced obstructions rather overcame obstructions ensure installation completed elaborate hedge wall cable come modern day engineers would stop job point cite hedge obstruction stevie got hedge ensure job got done really impressed,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,polite helpful phone staff reached made extra effort call back help move internet address even requested knew reach searching post code next address via company media website went way help change account details well kind,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,fantastic customer experience,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,0,,2023-05-01,5,0.0,0.0,0.0,0.0,0.0
control,VOLT,VOLT_control,yes,10,quick prompt friendly service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,colleague called polite professional efficient would recommend company anyone knew one setting,2023-05-01,5,5.0,5.0,10.0,10.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,lady rang promised helpful friendly,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-05-01,5,10.0,10.0,10.0,10.0,7.0
control,Non-VOLT,Non-VOLT_control,,0,call company everyday spoke least different people different departments time explain situation one member said yes activate internet different department got department said done manager available talk told activation happen different dates due companys delays caused loose wages work work home rely internet work son disabled uses internet communicate days non communication far speaking suppliers cancelling company within 30day cooling period circumstances recommend company publishing experience social media need get departments organised leadership needs held accountable staff clearly need adequate training,2023-05-01,5,0.0,0.0,0.0,0.0,0.0
control,VOLT,VOLT_control,yes,10,james helpful help get best package family can't wait 31st may full installation wish sooner,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,service fabulous,2023-05-01,5,10.0,10.0,9.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,everything made extremely clear agent dealt polite friendly promised call back actually planned,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,helpful agent clearly stated everything needed know took whole process polite professional manner stating service would start expect equipment,2023-05-01,5,9.0,8.0,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,polite helpful got speak somebody,2023-05-01,5,6.0,5.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,8,,2023-05-01,5,7.0,7.0,7.0,7.0,7.0
control,VOLT,VOLT_control,yes,6,found service far good however research services evaluation company customer service responding issues quite poor worries reserve judgement,2023-05-01,5,10.0,7.0,10.0,10.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,customer service excellent customer thats left crawling back haha,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,man spoke polite helpful,2023-05-01,5,5.0,5.0,9.0,8.0,8.0
control,VOLT,VOLT_control,yes,10,fantastic customer service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,coz davie lovely great salesman local hope maintain excellent customer service given call previous customer company customer service absolutely pants,2023-05-01,5,5.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,8,friendly patient staff assist always kept informed going times great service,2023-05-01,5,5.0,7.0,10.0,10.0,7.0
control,Non-VOLT,Non-VOLT_control,,10,great value money friendly helpful customer service installation yet comment much far good,2023-05-01,5,5.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,customer service excellent polite extremely helpful,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,angie's customer service excellent took options clear comprehensive way made sure things got sorted really quickly super friendly talk,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,technician excellent,2023-05-01,5,4.0,6.0,4.0,7.0,10.0
control,VOLT,VOLT_control,yes,10,customer years always good service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,representative helpful gave good advice understood needs,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,excellent service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,quick easy set,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,good customer service,2023-05-01,5,10.0,7.0,10.0,10.0,6.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,3,called took items need tried cancel part poor reduction removing item went cancel could understand call handler ask repeat said back still cancelled hope get british native speaker next time,2023-05-01,5,,5.0,8.0,8.0,4.0
control,VOLT,VOLT_control,yes,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,good customer service polite staff,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,lady helped name clara absolutely wonder explained everything delight speak please thank tell enjoyed chat,2023-05-01,5,8.0,8.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,experience really good price bit expensive good experience company media far engineer came address professional friendly really good job running wires nice tidy exactly wanted,2023-05-01,5,9.0,8.0,9.0,8.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,good service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,mat incredibly helpful friendly made feel ease trying decide going pressure laid facts remained friendly called engineer come spoke cary also incredibly helpful booked someone within day polite talkative finally came colleague whos name unable get install great made process easy understand process even helped cable know damaged start end process excellent special thank helped,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,7,,2023-05-01,5,8.0,9.0,10.0,10.0,8.0
control,Non-VOLT,Non-VOLT_control,,10,best technician ever met professional gentle person calm cool personality even though delay opening door waited patiently cool overall installation went fast perfectly thank providing professionals good character rather providers one point right sheets,2023-05-01,5,10.0,8.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,person spoke extremely helpful informative package purchased improvement deal getting another provider,2023-05-01,5,9.0,9.0,9.0,10.0,9.0
control,VOLT,VOLT_control,yes,10,ellie nice easygoing funny,2023-05-01,5,10.0,10.0,10.0,10.0,8.0
control,VOLT,VOLT_control,yes,10,proactive called added basket saved call next day filled request information outside house cabling contractor arrived hours later fit cable unbelievable service,2023-05-01,5,5.0,10.0,10.0,8.0,10.0
control,VOLT,VOLT_control,yes,10,friendly quick service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,engineer came help installation abbie went beyond understand wanted setup make sure everything done properly happy service,2023-05-01,5,8.0,6.0,8.0,8.0,8.0
control,VOLT,VOLT_control,yes,9,,2023-06-01,6,8.0,8.0,8.0,8.0,9.0
control,Non-VOLT,Non-VOLT_control,,9,reason following joining company subsequent next day company team fitted equipment outside cottage newtongrange thankyou much promt service one small complaint difficulty obtaining due financial reward sincerely,2023-06-01,6,10.0,10.0,8.0,10.0,8.0
control,VOLT,VOLT_control,yes,9,friendly helpful,2023-06-01,6,,9.0,9.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,super quick responsive helpful great customer service thank,2023-06-01,6,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,8,angie extremely helpful helped choose right package needs think,2023-06-01,6,9.0,8.0,9.0,9.0,9.0
control,VOLT,VOLT_control,yes,9,great service sales consultant great deal offered,2023-06-01,6,9.0,9.0,9.0,9.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,speed awesome shut customer services excellent staff highly cooperative,2023-06-01,6,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,efficient courteous staff good service prices glad board john,2023-06-01,6,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,,2023-06-01,6,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,easy set good price,2023-06-01,6,10.0,9.0,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,fast internet,2023-06-01,6,9.0,10.0,10.0,10.0,6.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-06-01,6,5.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,0,cant get box work,2023-06-01,6,0.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,helpful efficient service competitive broadband package,2023-06-01,6,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,0,terrible customer service week later wifi still set nobody contacted since said would sorted within hrs someone would call,2023-06-01,6,0.0,5.0,0.0,0.0,0.0
control,Non-VOLT,Non-VOLT_control,,10,good customer service agent found really good deal lot better getting sky,2023-06-01,6,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,0,,2023-06-01,6,0.0,,,,
control,Non-VOLT,Non-VOLT_control,,10,reson one emplyee rosie helped going extra mile phone ranking lady online sale department performance good,2023-06-01,6,7.0,10.0,10.0,10.0,8.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-03,1,,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,8,,2023-01-03,1,8.0,8.0,8.0,8.0,7.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,,2023-01-03,1,8.0,10.0,9.0,9.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,,2023-01-03,1,7.0,7.0,7.0,7.0,8.0
pilot,VOLT,VOLT_pilot,yes,7,prompt service,2023-01-03,1,7.0,6.0,7.0,7.0,7.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-03,1,7.0,5.0,9.0,10.0,7.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,young man visited set internet respectful informative knowledgeable,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,0,internet working team pushy despite put account details talk someone phone repeat frustrating soul destroying experience,2023-01-03,1,0.0,2.0,0.0,0.0,0.0
pilot,Non-VOLT,Non-VOLT_pilot,,8,,2023-01-03,1,5.0,8.0,10.0,10.0,8.0
pilot,VOLT,VOLT_pilot,yes,5,,2023-01-03,1,8.0,8.0,8.0,8.0,8.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,10,good service,2023-01-03,1,9.0,9.0,9.0,9.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,gave setting broadband package one employer's team going payments bundle tried charge set fee new free could say mistake wit's pointed free charge would charged bill let check put right moved carried deal infront apart helpful,2023-01-03,1,,10.0,3.0,8.0,7.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,lady spoke helpful,2023-01-03,1,7.0,8.0,8.0,8.0,7.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-03,1,8.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,,2023-01-03,1,9.0,9.0,9.0,9.0,9.0
pilot,VOLT,VOLT_pilot,yes,9,,2023-01-03,1,9.0,3.0,6.0,6.0,7.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,good customer service adam knowledgeable helpful swift processing order order arrived next day amazing seamlessly installed running nicely making huge difference internet speed thank great service hope maintained level throughout engaggement,2023-01-03,1,9.0,9.0,9.0,9.0,9.0
pilot,VOLT,VOLT_pilot,yes,10,affordable price broadband speed,2023-01-03,1,10.0,10.0,9.0,10.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,10,service superp really appreciate turnaround well constant updates regarding progress company media team friendly willing assist recommend company media friends,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,man talked help full,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,9,technician name shabir perfect work nice company network wonderful,2023-01-03,1,10.0,9.0,9.0,9.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,satisfied service rendered company media staff technician came install black box nice,2023-01-03,1,10.0,9.0,8.0,9.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,liked professionalism,2023-01-03,1,9.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,2,sales team sent wrong details contract wasted hours trying get sorted still sorted,2023-01-03,1,5.0,5.0,1.0,2.0,5.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,10,adam clearly knew products clear trying oversell offering best product available family needs dealt swiftly clearly explained process,2023-01-03,1,5.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,8,,2023-01-03,1,8.0,8.0,8.0,8.0,8.0
pilot,VOLT,VOLT_pilot,yes,10,got good offer company sky,2023-01-03,1,8.0,5.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,,2023-01-03,1,8.0,8.0,8.0,9.0,8.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,far many mails messages plus two days since ordering phone line yet installed,2023-01-03,1,5.0,5.0,9.0,10.0,5.0
pilot,VOLT,VOLT_pilot,yes,8,prompt response swift delivery good network affordability,2023-01-03,1,8.0,8.0,9.0,9.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,satisfied upto give know running,2023-01-03,1,9.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,quick efficient service easy set,2023-01-03,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,4,operator difficult understand call took one register complete process,2023-01-03,1,,,,,
pilot,VOLT,VOLT_pilot,yes,10,happy maria customer service centre stephen technician helpful understanding,2023-01-03,1,10.0,9.0,10.0,10.0,10.0
