treatment,segment,group,VOLT_FLAG,SCORE,cleaned_comment,date_converted,month,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-04,1,10.0,8.0,7.0,10.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,9,helpful phone organising everything good service thing missed pac code transferring number new sim,2023-01-04,1,8.0,8.0,10.0,10.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,excellent service advising package deals connected,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,0,lied telling company already home could set five days find cables anywhere near home dig entire shared drive company disappointed cancelling,2023-01-04,1,,,,,
pilot,Non-VOLT,Non-VOLT_pilot,,10,finally able speak someone helpful going forward would suggest would helpful phone number easily accessible came close giving online signing,2023-01-04,1,5.0,10.0,10.0,10.0,5.0
pilot,VOLT,VOLT_pilot,yes,10,friendly customer service clear explanation included,2023-01-04,1,8.0,7.0,9.0,10.0,9.0
pilot,VOLT,VOLT_pilot,yes,6,customer service good,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,engineer extremely competent vast knowledge services available company unaware requested streaming hub sports add ons rating excellent read job notes attended last call requested,2023-01-04,1,5.0,0.0,0.0,5.0,2.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,sade extremely friendly helpful,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,0,network work areas apartment,2023-01-04,1,6.0,7.0,7.0,7.0,6.0
pilot,VOLT,VOLT_pilot,yes,10,great job lovely team,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,10,efficient friendly,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great customer service best wifi market also like heard company engineers use white box wires install completion,2023-01-04,1,2.0,8.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,9,helpful friendly,2023-01-04,1,6.0,9.0,9.0,9.0,9.0
pilot,VOLT,VOLT_pilot,yes,10,initial sale great employee knowledgeable explained process benefits trouble setting device received support staff extremely helpful got running perfect experience,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,competence friendly manners call even though crowded surrownding set contract everything fine,2023-01-04,1,9.0,9.0,9.0,9.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,4,cords connected wall unit size,2023-01-04,1,1.0,3.0,6.0,6.0,6.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,5,happy way contract sold,2023-01-04,1,8.0,5.0,1.0,5.0,3.0
pilot,VOLT,VOLT_pilot,yes,5,interne working properly,2023-01-04,1,7.0,6.0,9.0,9.0,4.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,colleague friendly knowledgable,2023-01-04,1,9.0,9.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,technician nice,2023-01-04,1,5.0,3.0,8.0,8.0,8.0
pilot,VOLT,VOLT_pilot,yes,7,,2023-01-04,1,7.0,6.0,4.0,5.0,6.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great price competitive,2023-01-04,1,,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,helpful thorough patient throughout,2023-01-04,1,10.0,5.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,amazing customer service sade,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,perfect,2023-01-04,1,10.0,0.0,0.0,5.0,8.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,guy spoke amazing customer service skills polite friendly professional assisted way found correct broadband,2023-01-04,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,0,contacted regarding login problem sorted yet,2023-01-05,1,0.0,0.0,0.0,0.0,0.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great deal salesman phone good accommodating explained everything needed know,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,5,cut times finally got service great frustrating cut many times,2023-01-05,1,0.0,7.0,9.0,9.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,8,pleasant call centre agent fast installation external box,2023-01-05,1,6.0,9.0,8.0,10.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,person phone polite gave information needed make right choice broadband best one,2023-01-05,1,9.0,10.0,9.0,10.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,excellent support made easy,2023-01-05,1,8.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,10,helpful explained everything asked,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,easy change friendly professional call taker,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,10,fantastic service,2023-01-05,1,,,,,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,4,told could supply service property moving told order connect would lay trench digging front property renting property cannot give permission work without precise details involved impact landlord's property garden made clear time discussing service company media could provide discussed connection visit engineer would conect router,2023-01-05,1,6.0,5.0,5.0,10.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,prompt response,2023-01-05,1,1.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-05,1,,,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great service quick set,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-05,1,,9.0,10.0,10.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,0,sign services someone either mis entered using email address told fraud group still getting emails,2023-01-05,1,,,,,
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,,2023-01-05,1,9.0,9.0,9.0,9.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,helpful,2023-01-05,1,9.0,10.0,5.0,5.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,excellent service,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,8,,2023-01-05,1,6.0,7.0,9.0,9.0,8.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-05,1,,,,,
pilot,VOLT,VOLT_pilot,yes,10,great service phone brilliant package previous provider could even match round satisfied,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,,2023-01-05,1,8.0,6.0,9.0,9.0,7.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,helpful,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great customer service,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,8,great benefits pricey,2023-01-05,1,9.0,10.0,9.0,10.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,0,customer service awful really need ditch overseas call centers kindness understanding voice long way feel contempt operator voices sniggering laughing say cannot understnd saying feels intentional cannot quite get words due strong accents saving grace physical connection stability thankfully connection quality good rarely ever thank goodness contact call centers would touch barge pole otherwise take look broadband whos operators absolutely marvellous lessons learned brushed carpet haha,2023-01-05,1,9.0,0.0,1.0,2.0,1.0
pilot,Non-VOLT,Non-VOLT_pilot,,1,good wifi would delivered 7am 7pm stayed house day working home wifi delivery never showed day wasted customer service received polite totally ineffective unhelpful,2023-01-05,1,0.0,1.0,5.0,5.0,5.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,everything sorted easily,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,experience yet installation june 3rd,2023-01-05,1,5.0,9.0,5.0,9.0,5.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,8,good service reasonable price,2023-01-05,1,7.0,7.0,9.0,9.0,8.0
pilot,VOLT,VOLT_pilot,yes,8,,2023-01-05,1,8.0,8.0,8.0,8.0,8.0
pilot,VOLT,VOLT_pilot,yes,10,,2023-01-05,1,10.0,,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,8,,2023-01-05,1,8.0,8.0,10.0,10.0,8.0
pilot,VOLT,VOLT_pilot,yes,10,advisor explained everything clearly detail helpful patient friendly made comfortable,2023-01-05,1,7.0,10.0,10.0,10.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-05,1,9.0,8.0,9.0,9.0,7.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,introduced back company friend find offer etc end conversation,2023-01-05,1,6.0,6.0,,6.0,5.0
pilot,Non-VOLT,Non-VOLT_pilot,,8,,2023-01-05,1,8.0,8.0,8.0,8.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,dealt quickly guys came set hub good,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,9,like quick response got everything,2023-01-05,1,8.0,8.0,8.0,8.0,6.0
pilot,Non-VOLT,Non-VOLT_pilot,,1,communication skills poor hard ear well explain things properly proper english company media also put things asked even saying things putting things,2023-01-05,1,0.0,0.0,3.0,2.0,0.0
pilot,Non-VOLT,Non-VOLT_pilot,,9,happy service,2023-01-05,1,10.0,9.0,9.0,10.0,9.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,moved property last june unable enjoy services company media provided previous address years due previous owner declining installation already sky installed assume sure cable would run property directly kerb line drive house set back ask service available move advised time advised company media always expanding services enquire new year enquired early may sales operative extremely helpful able call back advise would book site visit carry survey hopeful would get service missing past months engineers called discussed route since things moving along swiftly termination box end property access installed last week civils works running cable yesterday full install property due next monday what's like times met positive attitude degree curtesy found lacking companies recent years well done company media,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,0,company media worst company ever used cut phone notice went terrible company keep phone number witch promised would even made mess given new number absolutely disgusting,2023-01-05,1,0.0,0.0,,0.0,
pilot,VOLT,VOLT_pilot,yes,10,great service engineer came next day lovely got running time,2023-01-05,1,10.0,10.0,10.0,10.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,,2023-01-05,1,,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,engineer steve time friendly helpful ðx_x0018_,2023-01-05,1,7.0,7.0,7.0,8.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,customer care sounded nicely rule reading many things expecting make decision based really odd let use service think recommendation please,2023-01-05,1,,,,,
pilot,Non-VOLT,Non-VOLT_pilot,,10,polite well knew job inside,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,quick efficient good coverage,2023-01-05,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,sales staff extremely helpful easy talk,2023-01-05,1,5.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,helpful staff,2023-01-05,1,8.0,10.0,10.0,10.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,percy explained things clearly understood start wanted hard sell listening understanding top marks percy thank,2023-01-05,1,5.0,5.0,10.0,10.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,team came friendly explained needed also clear fact one trainee still provided excellent customer service,2023-01-06,1,10.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,daughter went everything operator years old understand lot language used technically want able know enjoy daughter praised service highly,2023-01-06,1,8.0,10.0,10.0,10.0,10.0
pilot,Non-VOLT,Non-VOLT_pilot,,7,new company media can't say yet liked service setting account,2023-01-06,1,,,8.0,7.0,7.0
pilot,Non-VOLT,Non-VOLT_pilot,,8,efficient,2023-01-06,1,,10.0,9.0,10.0,9.0
pilot,VOLT,VOLT_pilot,yes,7,helpful informative,2023-01-06,1,10.0,5.0,10.0,10.0,8.0
pilot,Non-VOLT,Non-VOLT_pilot,,10,gentleman dealt helpful friendly deserves lot credit nice man,2023-01-06,1,10.0,10.0,10.0,10.0,10.0
pilot,VOLT,VOLT_pilot,yes,0,,2023-01-06,1,0.0,,,,
pilot,Non-VOLT,Non-VOLT_pilot,,10,really easy get deal wanted really friendly staff patient whilst waited mortgage great value money easy book date installation suited,2023-01-06,1,10.0,10.0,10.0,10.0,10.0
