treatment,segment,group,VOLT_FLAG,SCORE,cleaned_comment,date_converted,month,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,sentiment_textblob,sentiment_category,assigned_topic,meaningful_topic,sentiment_positive,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,has_agent_personality,has_clarity,has_reassurance,is_pilot,is_volt,pilot_volt_interaction
pilot,Non-VOLT,Non-VOLT_pilot,,0,basically waste time install anything interested trying help set second chap gave information telling would run cables outside house inside well impressed also told someone would touch efforts happened cancelled set direct debit,2023-01-03,1,0.0,0.0,0.0,0.0,0.0,0.1916666666666666,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,polite extremely helpful great service,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.3375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,7,expensive best value around address,2023-01-03,1,8.0,9.0,9.0,9.0,8.0,0.25,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,good communication helpful,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.7,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,good service clear concise,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.3,positive,1,True,1,0,1,0,0,0,0,0,0,1,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,4,found difficult understand agents phone rather agreeing eyes tried sell something different,2023-01-03,1,,5.0,5.0,7.0,3.0,-0.25,negative,0,True,0,1,0,0,0,0,0,0,0,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,staff knowledgeable products know sell,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,8,staff nice patient assisting choose plan,2023-01-03,1,8.0,8.0,8.0,8.0,8.0,0.6,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,phone conversation representative well explicit already sorted order phone great job,2023-01-03,1,,9.0,9.0,8.0,8.0,0.8,positive,3,True,1,0,0,0,1,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,guys rang pleasant explained exactly going home time,2023-01-03,1,10.0,9.0,9.0,9.0,9.0,0.4916666666666666,positive,3,True,1,0,0,0,1,0,0,0,0,1,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,9,accommodated request preferred cable routing work carried swiftly,2023-01-03,1,9.0,8.0,9.0,9.0,9.0,0.0,neutral,4,True,0,0,0,0,0,1,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,spoke adam helpful,2023-01-03,1,9.0,9.0,9.0,9.0,9.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,friendly helpful,2023-01-03,1,5.0,8.0,,,,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,needed sim urgently told get wednesday even though called monday evening got sim wednesday told would,2023-01-03,1,10.0,7.0,10.0,10.0,10.0,0.0,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,professional came right time,2023-01-03,1,10.0,9.0,10.0,10.0,9.0,0.1928571428571428,positive,4,True,1,0,0,0,0,1,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,dealt professional manner everything fully explained,2023-01-03,1,10.0,10.0,10.0,10.0,8.0,0.1,neutral,3,True,0,0,0,0,1,0,0,0,1,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,customer service point offer given excellent,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,1.0,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,olivia help friendly,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,efficient helpful,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,8,yes phoned lady spoke said would phone back much thought decided canceled package hope answers question,2023-01-03,1,,,,,,0.1,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,terms customer service pretty good however icing cake engineer setup company box name jeremiah helpful kind real asset company could give would ðxü,2023-01-03,1,10.0,9.0,7.0,7.0,7.0,0.4374999999999999,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,really friendly,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.375,positive,2,True,1,0,0,1,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,helpful,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,6,took three long frustrating calls get agree new contract one point speaking advisor mins put hold call ended took hours total,2023-01-04,1,,5.0,9.0,9.0,3.0,-0.0784090909090909,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,offered best option suits friendly conversation helpful,2023-01-04,1,,10.0,10.0,10.0,10.0,0.6875,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,1,unhappy read installation fee apartment already assigned company previous tennant engineer came install anything took delivery box installed,2023-01-04,1,,0.0,,9.0,,-0.3833333333333333,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,0,awful service support work sales help site doesnt work really disappointed,2023-01-04,1,0.0,0.0,5.0,5.0,0.0,-0.875,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great customer service,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.8,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,good service,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,superb service helpful agent,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,1.0,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,massive drama shell energy moving home bad customer service spoke company within days active broadband house something hrs phone,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,-0.2777777777777777,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,excellent service,2023-01-04,1,9.0,8.0,9.0,9.0,9.0,1.0,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,company media guy helpful,2023-01-04,1,8.0,8.0,9.0,9.0,9.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,guided process phone epitome empathetic warm professionalism customer service personnel good products remain competitive see becoming long term loyal customer,2023-01-04,1,8.0,10.0,10.0,10.0,9.0,0.4066666666666666,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,0,extremely disappointed customer service team still awaiting response fraud prevention team waste hours time already service yet receive,2023-01-04,1,0.0,0.0,0.0,0.0,0.0,-0.475,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,0,internet crap get signal half stair call complain get fobbed staff trained robots guys make want hang call every week sell mobile contract told stop taken numbers dates call give ofcom harassment,2023-01-04,1,0.0,0.0,0.0,0.0,0.0,-0.4833333333333333,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,brilliant customer service,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.9,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,helpful friendly advisor good package deal,2023-01-04,1,9.0,9.0,9.0,9.0,9.0,0.5375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,efficient friendly,2023-01-04,1,,9.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,patient call handler explained everything detail good professionalism polite voice tone throughout upsell pressurised get services,2023-01-04,1,9.0,5.0,10.0,10.0,8.0,0.7,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,percy helpful polite patient,2023-01-04,1,9.0,9.0,8.0,9.0,7.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,3,despite entered data online everything phone extremely difficult understand advisor,2023-01-04,1,8.0,10.0,6.0,7.0,5.0,-0.5,negative,0,True,0,1,0,0,0,0,0,0,0,1,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,friendly adviser,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,easy set process helpful staff phone,2023-01-04,1,10.0,10.0,10.0,10.0,9.0,0.4333333333333333,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great service friendly staff,2023-01-04,1,6.0,10.0,10.0,10.0,5.0,0.5875,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,quick service,2023-01-04,1,10.0,10.0,9.0,10.0,6.0,0.3333333333333333,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,good price service,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,polite informative,2023-01-04,1,9.0,9.0,9.0,10.0,9.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,great price,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.8,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,0,placing order online free installation activation contract sent next day one charge order get sorted called hour half lied two members team finally transferred someone could helped minutes although contract still charge can't believe staff badly trained tried complain member complaints team tried convince asked speak manager fairness manager came saying everything resolved can't understand would want talk manager like prime minister supervisor call centre sure even bothered recounting like anyone company cares,2023-01-04,1,0.0,0.0,0.0,0.0,6.0,0.0055555555555555,neutral,0,True,0,1,0,0,0,0,0,0,0,1,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,easy set,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.4333333333333333,positive,4,True,1,0,0,0,0,1,0,0,0,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,person set account helpful fully explained everything,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.0,neutral,3,True,0,0,0,0,1,0,0,0,1,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,person spoke help understanding fantastic team working best experience stressful pervasive make experience stressful never best customer care ever,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.3,positive,0,True,1,1,0,0,0,0,0,0,0,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,efficient service great price fast setup delivery great round,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.4,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,helpful phone organising everything good service thing missed pac code transferring number new sim,2023-01-04,1,8.0,8.0,10.0,10.0,8.0,0.4181818181818181,positive,0,True,1,1,0,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,excellent service advising package deals connected,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,1.0,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,0,lied telling company already home could set five days find cables anywhere near home dig entire shared drive company disappointed cancelling,2023-01-04,1,,,,,,-0.2166666666666666,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,finally able speak someone helpful going forward would suggest would helpful phone number easily accessible came close giving online signing,2023-01-04,1,5.0,10.0,10.0,10.0,5.0,0.4375,positive,5,True,1,0,0,0,0,0,1,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,friendly customer service clear explanation included,2023-01-04,1,8.0,7.0,9.0,10.0,9.0,0.2375,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,sade extremely friendly helpful,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,great job lovely team,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.65,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,efficient friendly,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,great customer service best wifi market also like heard company engineers use white box wires install completion,2023-01-04,1,2.0,8.0,10.0,10.0,10.0,0.6,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,helpful friendly,2023-01-04,1,6.0,9.0,9.0,9.0,9.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,initial sale great employee knowledgeable explained process benefits trouble setting device received support staff extremely helpful got running perfect experience,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.295,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,competence friendly manners call even though crowded surrownding set contract everything fine,2023-01-04,1,9.0,9.0,9.0,9.0,9.0,0.3958333333333333,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,5,interne working properly,2023-01-04,1,7.0,6.0,9.0,9.0,4.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,colleague friendly knowledgable,2023-01-04,1,9.0,9.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,technician nice,2023-01-04,1,5.0,3.0,8.0,8.0,8.0,0.6,positive,2,True,1,0,0,1,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great price competitive,2023-01-04,1,,10.0,10.0,10.0,10.0,0.8,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,helpful thorough patient throughout,2023-01-04,1,10.0,5.0,10.0,10.0,10.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,amazing customer service sade,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.6000000000000001,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,perfect,2023-01-04,1,10.0,0.0,0.0,5.0,8.0,1.0,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,guy spoke amazing customer service skills polite friendly professional assisted way found correct broadband,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.3583333333333334,positive,5,True,1,0,0,0,0,0,1,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great deal salesman phone good accommodating explained everything needed know,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.75,positive,3,True,1,0,0,0,1,0,0,0,0,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,person phone polite gave information needed make right choice broadband best one,2023-01-05,1,9.0,10.0,9.0,10.0,9.0,0.6428571428571428,positive,5,True,1,0,0,0,0,0,1,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,excellent support made easy,2023-01-05,1,8.0,10.0,10.0,10.0,10.0,0.7166666666666667,positive,1,True,1,0,1,0,0,0,0,0,0,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,easy change friendly professional call taker,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.3027777777777777,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,fantastic service,2023-01-05,1,,,,,10.0,0.4,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,4,told could supply service property moving told order connect would lay trench digging front property renting property cannot give permission work without precise details involved impact landlord's property garden made clear time discussing service company media could provide discussed connection visit engineer would conect router,2023-01-05,1,6.0,5.0,5.0,10.0,8.0,0.25,positive,0,True,1,1,0,0,0,0,0,0,0,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,prompt response,2023-01-05,1,1.0,10.0,10.0,10.0,10.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great service quick set,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.5666666666666667,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,helpful,2023-01-05,1,9.0,10.0,5.0,5.0,10.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,excellent service,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,1.0,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,helpful,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great customer service,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.8,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,8,great benefits pricey,2023-01-05,1,9.0,10.0,9.0,10.0,9.0,0.8,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,0,customer service awful really need ditch overseas call centers kindness understanding voice long way feel contempt operator voices sniggering laughing say cannot understnd saying feels intentional cannot quite get words due strong accents saving grace physical connection stability thankfully connection quality good rarely ever thank goodness contact call centers would touch barge pole otherwise take look broadband whos operators absolutely marvellous lessons learned brushed carpet haha,2023-01-05,1,9.0,0.0,1.0,2.0,1.0,0.078030303030303,neutral,0,True,0,1,0,0,0,0,0,0,0,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,1,good wifi would delivered 7am 7pm stayed house day working home wifi delivery never showed day wasted customer service received polite totally ineffective unhelpful,2023-01-05,1,0.0,1.0,5.0,5.0,5.0,0.1666666666666666,positive,0,True,1,1,0,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,everything sorted easily,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.4333333333333333,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,8,good service reasonable price,2023-01-05,1,7.0,7.0,9.0,9.0,8.0,0.4499999999999999,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,advisor explained everything clearly detail helpful patient friendly made comfortable,2023-01-05,1,7.0,10.0,10.0,10.0,8.0,0.2916666666666667,positive,3,True,1,0,0,0,1,0,0,0,1,1,1,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,dealt quickly guys came set hub good,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.5166666666666666,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,like quick response got everything,2023-01-05,1,8.0,8.0,8.0,8.0,6.0,0.3333333333333333,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,happy service,2023-01-05,1,10.0,9.0,9.0,10.0,9.0,0.8,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,moved property last june unable enjoy services company media provided previous address years due previous owner declining installation already sky installed assume sure cable would run property directly kerb line drive house set back ask service available move advised time advised company media always expanding services enquire new year enquired early may sales operative extremely helpful able call back advise would book site visit carry survey hopeful would get service missing past months engineers called discussed route since things moving along swiftly termination box end property access installed last week civils works running cable yesterday full install property due next monday what's like times met positive attitude degree curtesy found lacking companies recent years well done company media,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.0458827404479578,neutral,0,True,0,1,0,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,0,company media worst company ever used cut phone notice went terrible company keep phone number witch promised would even made mess given new number absolutely disgusting,2023-01-05,1,0.0,0.0,,0.0,,-0.6077272727272727,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,polite well knew job inside,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,quick efficient good coverage,2023-01-05,1,10.0,10.0,10.0,10.0,10.0,0.5166666666666666,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,helpful staff,2023-01-05,1,8.0,10.0,10.0,10.0,8.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,percy explained things clearly understood start wanted hard sell listening understanding top marks percy thank,2023-01-05,1,5.0,5.0,10.0,10.0,8.0,0.1027777777777777,positive,3,True,1,0,0,0,1,0,0,0,0,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,7,new company media can't say yet liked service setting account,2023-01-06,1,,,8.0,7.0,7.0,0.3681818181818181,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,7,helpful informative,2023-01-06,1,10.0,5.0,10.0,10.0,8.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,really easy get deal wanted really friendly staff patient whilst waited mortgage great value money easy book date installation suited,2023-01-06,1,10.0,10.0,10.0,10.0,10.0,0.5104166666666667,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,1,0,0
